CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
Level,"1,540",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1929,6,59e969c937efdf6d8b49d2d6
Level,-223,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1930,6,59e969ca37efdf6d8b49d2d7
Level,"-1,112",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1931,6,59e969ca37efdf6d8b49d2d8
Level,"-2,351",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1932,6,59e969ca37efdf6d8b49d2d9
Level,"-1,403",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1933,6,59e969ca37efdf6d8b49d2da
Level,-580,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1934,6,59e969ca37efdf6d8b49d2db
Level,"1,140",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1935,6,59e969ca37efdf6d8b49d2dc
Level,"1,161",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1936,6,59e969ca37efdf6d8b49d2dd
Level,"2,625",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1937,6,59e969ca37efdf6d8b49d2de
Level,-575,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1938,6,59e969ca37efdf6d8b49d2df
Level,207,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1939,6,59e969ca37efdf6d8b49d2e0
Level,"2,393",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1940,6,59e969ca37efdf6d8b49d2e1
Level,"4,330",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1941,6,59e969ca37efdf6d8b49d2e2
Level,"1,906",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1942,6,59e969ca37efdf6d8b49d2e3
Level,-746,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1943,6,59e969ca37efdf6d8b49d2e4
Level,-924,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1944,6,59e969ca37efdf6d8b49d2e5
Level,"-1,476",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1945,6,59e969ca37efdf6d8b49d2e6
Level,"6,011",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1946,6,59e969ca37efdf6d8b49d2e7
Level,-550,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1947,6,59e969ca37efdf6d8b49d2e8
Level,"5,658",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1948,6,59e969ca37efdf6d8b49d2e9
Level,"-2,692",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1949,6,59e969ca37efdf6d8b49d2ea
Level,"5,770",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1950,6,59e969ca37efdf6d8b49d2eb
Level,"9,909",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1951,6,59e969ca37efdf6d8b49d2ec
Level,"3,514",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1952,6,59e969ca37efdf6d8b49d2ed
Level,"1,948",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1953,6,59e969ca37efdf6d8b49d2ee
Level,"-1,937",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1954,6,59e969ca37efdf6d8b49d2ef
Level,"4,988",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1955,6,59e969ca37efdf6d8b49d2f0
Level,"3,950",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1956,6,59e969ca37efdf6d8b49d2f1
Level,777,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1957,6,59e969ca37efdf6d8b49d2f2
Level,-366,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1958,6,59e969ca37efdf6d8b49d2f3
Level,"3,917",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1959,6,59e969ca37efdf6d8b49d2f4
Level,"3,232",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1960,6,59e969ca37efdf6d8b49d2f5
Level,"2,974",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1961,6,59e969ca37efdf6d8b49d2f6
Level,"6,101",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1962,6,59e969ca37efdf6d8b49d2f7
Level,"5,621",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1963,6,59e969ca37efdf6d8b49d2f8
Level,"4,821",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1964,6,59e969ca37efdf6d8b49d2f9
Level,"9,247",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1965,6,59e969ca37efdf6d8b49d2fa
Level,"13,636",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1966,6,59e969ca37efdf6d8b49d2fb
Level,"9,866",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1967,6,59e969ca37efdf6d8b49d2fc
Level,"9,053",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1968,6,59e969ca37efdf6d8b49d2fd
Level,"9,173",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1969,6,59e969ca37efdf6d8b49d2fe
Level,"2,001",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1970,6,59e969ca37efdf6d8b49d2ff
Level,"8,256",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1971,6,59e969ca37efdf6d8b49d300
Level,"9,107",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1972,6,59e969ca37efdf6d8b49d301
Level,"15,878",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1973,6,59e969ca37efdf6d8b49d302
Level,"13,990",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1974,6,59e969ca37efdf6d8b49d303
Level,"-6,256",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1975,6,59e969ca37efdf6d8b49d304
Level,"17,116",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1976,6,59e969ca37efdf6d8b49d305
Level,"22,324",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1977,6,59e969ca37efdf6d8b49d306
Level,"25,791",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1978,6,59e969ca37efdf6d8b49d307
Level,"17,984",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1979,6,59e969ca37efdf6d8b49d308
Level,"-6,331",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1980,6,59e969ca37efdf6d8b49d309
Level,"29,809",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1981,6,59e969ca37efdf6d8b49d30a
Level,"-14,914",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1982,6,59e969ca37efdf6d8b49d30b
Level,"-5,751",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1983,6,59e969ca37efdf6d8b49d30c
Level,"65,405",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1984,6,59e969ca37efdf6d8b49d30d
Level,"21,824",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1985,6,59e969ca37efdf6d8b49d30e
Level,"6,571",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1986,6,59e969ca37efdf6d8b49d30f
Level,"27,149",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1987,6,59e969ca37efdf6d8b49d310
Level,"18,482",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1988,6,59e969ca37efdf6d8b49d311
Level,"27,693",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1989,6,59e969ca37efdf6d8b49d312
Level,"14,547",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1990,6,59e969ca37efdf6d8b49d313
Level,-394,Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1991,6,59e969ca37efdf6d8b49d314
Level,"16,328",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1992,6,59e969ca37efdf6d8b49d315
Level,"20,814",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1993,6,59e969ca37efdf6d8b49d316
Level,"63,784",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1994,6,59e969ca37efdf6d8b49d317
Level,"31,173",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1995,6,59e969ca37efdf6d8b49d318
Level,"30,800",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1996,6,59e969ca37efdf6d8b49d319
Level,"70,940",Change in private inventories,1,Current Dollars,A014RC,163,T50705A,1997,6,59e969ca37efdf6d8b49d31a
Level,-122,Farm,2,Current Dollars,B018RC,163,T50705A,1929,6,59e969ca37efdf6d8b49d31b
Level,-269,Farm,2,Current Dollars,B018RC,163,T50705A,1930,6,59e969ca37efdf6d8b49d31c
Level,460,Farm,2,Current Dollars,B018RC,163,T50705A,1931,6,59e969ca37efdf6d8b49d31d
Level,110,Farm,2,Current Dollars,B018RC,163,T50705A,1932,6,59e969ca37efdf6d8b49d31e
Level,-99,Farm,2,Current Dollars,B018RC,163,T50705A,1933,6,59e969ca37efdf6d8b49d31f
Level,-775,Farm,2,Current Dollars,B018RC,163,T50705A,1934,6,59e969ca37efdf6d8b49d320
Level,728,Farm,2,Current Dollars,B018RC,163,T50705A,1935,6,59e969ca37efdf6d8b49d321
Level,-881,Farm,2,Current Dollars,B018RC,163,T50705A,1936,6,59e969ca37efdf6d8b49d322
Level,924,Farm,2,Current Dollars,B018RC,163,T50705A,1937,6,59e969ca37efdf6d8b49d323
Level,446,Farm,2,Current Dollars,B018RC,163,T50705A,1938,6,59e969ca37efdf6d8b49d324
Level,-121,Farm,2,Current Dollars,B018RC,163,T50705A,1939,6,59e969ca37efdf6d8b49d325
Level,491,Farm,2,Current Dollars,B018RC,163,T50705A,1940,6,59e969ca37efdf6d8b49d326
Level,387,Farm,2,Current Dollars,B018RC,163,T50705A,1941,6,59e969ca37efdf6d8b49d327
Level,"1,268",Farm,2,Current Dollars,B018RC,163,T50705A,1942,6,59e969ca37efdf6d8b49d328
Level,-226,Farm,2,Current Dollars,B018RC,163,T50705A,1943,6,59e969ca37efdf6d8b49d329
Level,-320,Farm,2,Current Dollars,B018RC,163,T50705A,1944,6,59e969ca37efdf6d8b49d32a
Level,-852,Farm,2,Current Dollars,B018RC,163,T50705A,1945,6,59e969ca37efdf6d8b49d32b
Level,-194,Farm,2,Current Dollars,B018RC,163,T50705A,1946,6,59e969ca37efdf6d8b49d32c
Level,"-1,790",Farm,2,Current Dollars,B018RC,163,T50705A,1947,6,59e969ca37efdf6d8b49d32d
Level,"2,663",Farm,2,Current Dollars,B018RC,163,T50705A,1948,6,59e969ca37efdf6d8b49d32e
