CL_UNIT,DataValue,LineDescription,LineNumber,METRIC_NAME,SeriesCode,TableID,TableName,TimePeriod,UNIT_MULT,_id
Level,"70,940",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,1997,6,59e969db37efdf6d8b49d7fb
Level,"63,719",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,1998,6,59e969dc37efdf6d8b49d7fc
Level,"60,816",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,1999,6,59e969dc37efdf6d8b49d7fd
Level,"54,545",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2000,6,59e969dc37efdf6d8b49d7fe
Level,"-38,283",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2001,6,59e969dc37efdf6d8b49d7ff
Level,"18,501",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2002,6,59e969dc37efdf6d8b49d800
Level,"19,286",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2003,6,59e969dc37efdf6d8b49d801
Level,"63,860",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2004,6,59e969dc37efdf6d8b49d802
Level,"59,579",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2005,6,59e969dc37efdf6d8b49d803
Level,"66,972",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2006,6,59e969dc37efdf6d8b49d804
Level,"34,452",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2007,6,59e969dc37efdf6d8b49d805
Level,"-31,996",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2008,6,59e969dc37efdf6d8b49d806
Level,"-147,570",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2009,6,59e969dc37efdf6d8b49d807
Level,"61,528",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2010,6,59e969dc37efdf6d8b49d808
Level,"41,763",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2011,6,59e969dc37efdf6d8b49d809
Level,"61,794",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2012,6,59e969dc37efdf6d8b49d80a
Level,"92,407",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2013,6,59e969dc37efdf6d8b49d80b
Level,"77,987",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2014,6,59e969dc37efdf6d8b49d80c
Level,"111,943",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2015,6,59e969dc37efdf6d8b49d80d
Level,"35,078",Change in private inventories,1,Current Dollars,A014RC,164,T50705B,2016,6,59e969dc37efdf6d8b49d80e
Level,"3,271",Farm,2,Current Dollars,B018RC,164,T50705B,1997,6,59e969dc37efdf6d8b49d80f
Level,"1,266",Farm,2,Current Dollars,B018RC,164,T50705B,1998,6,59e969dc37efdf6d8b49d810
Level,"-2,730",Farm,2,Current Dollars,B018RC,164,T50705B,1999,6,59e969dc37efdf6d8b49d811
Level,"-1,398",Farm,2,Current Dollars,B018RC,164,T50705B,2000,6,59e969dc37efdf6d8b49d812
Level,37,Farm,2,Current Dollars,B018RC,164,T50705B,2001,6,59e969dc37efdf6d8b49d813
Level,"-2,497",Farm,2,Current Dollars,B018RC,164,T50705B,2002,6,59e969dc37efdf6d8b49d814
Level,67,Farm,2,Current Dollars,B018RC,164,T50705B,2003,6,59e969dc37efdf6d8b49d815
Level,"8,807",Farm,2,Current Dollars,B018RC,164,T50705B,2004,6,59e969dc37efdf6d8b49d816
Level,225,Farm,2,Current Dollars,B018RC,164,T50705B,2005,6,59e969dc37efdf6d8b49d817
Level,"-3,577",Farm,2,Current Dollars,B018RC,164,T50705B,2006,6,59e969dc37efdf6d8b49d818
Level,-706,Farm,2,Current Dollars,B018RC,164,T50705B,2007,6,59e969dc37efdf6d8b49d819
Level,"1,607",Farm,2,Current Dollars,B018RC,164,T50705B,2008,6,59e969dc37efdf6d8b49d81a
Level,"-1,602",Farm,2,Current Dollars,B018RC,164,T50705B,2009,6,59e969dc37efdf6d8b49d81b
Level,"-7,323",Farm,2,Current Dollars,B018RC,164,T50705B,2010,6,59e969dc37efdf6d8b49d81c
Level,"2,089",Farm,2,Current Dollars,B018RC,164,T50705B,2011,6,59e969dc37efdf6d8b49d81d
Level,"-19,481",Farm,2,Current Dollars,B018RC,164,T50705B,2012,6,59e969dc37efdf6d8b49d81e
Level,"10,179",Farm,2,Current Dollars,B018RC,164,T50705B,2013,6,59e969dc37efdf6d8b49d81f
Level,"-4,825",Farm,2,Current Dollars,B018RC,164,T50705B,2014,6,59e969dc37efdf6d8b49d820
